Plan Name,Plan Type,Plan URL,Plan ID,Non-Members Number,Members Number,Total Monthly Premiums,Health Premiums,Drug Premiums,Standard Part B Premiums,Part B Premium Reductions,Health Deductibles,Drug Deductibles,Maximum Pay for Health Services,Plan Addresses,Primary Doctor Visits,Specialists Visits,Diagnostics Test and Procedures,Lab Services,Diagnostic Radiology Services,Outpatient X-rays,Emergency Cares,Urgent Cares,Inpatient Hospital Coverages,Outpatient Hospital Coverages,Skilled Nursing Facilities,Preventive Services,Ground Ambulances,Occupational Therapy Visits,Physical Therapy and Speech and Language Therapy Visits,Tier 1,Tier 1 Initial Coverage Phases,Tier 1 Gap Coverage Phases,Tier 1 Catastrophic Coverage Phases,Tier 2,Tier 2 Initial Coverage Phases,Tier 2 Gap Coverage Phases,Tier 2 Catastrophic Coverage Phases,Tier 3,Tier 3 Initial Coverage Phases,Tier 3 Gap Coverage Phases,Tier 3 Catastrophic Coverage Phases,Tier 4,Tier 4 Initial Coverage Phases,Tier 4 Gap Coverage Phases,Tier 4 Catastrophic Coverage Phases,Tier 5,Tier 5 Initial Coverage Phases,Tier 5 Gap Coverage Phases,Tier 5 Catastrophic Coverage Phases,Tier 6,Tier 6 Initial Coverage Phases,Tier 6 Gap Coverage Phases,Tier 6 Catastrophic Coverage Phases,Chemotherapy Drugs,Other Part B Drugs,Part B Insulins,Hearing Exams,Fitting or Evaluations,Hearing Aids,Oral Exams,Cleanings,Fluoride Treatments,Dental X-rays,Non-routine Services,Diagnostic Services,Restorative Services,Endodontics,Periodontics,Extractions,Prosthodontics and Other Services,Routine Eye Exams,Contact Lenses,Eyeglasses,Eyeglasses Frames Only,Eyeglasses Lenses Only,Upgrades
MMM Valioso (HMO-POS),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4004-066-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H4004-066-0,1-833-668-2402,1-866-333-5471,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$3,250 In and Out-of-network$3,250 In-network$3,250 Out-of-network","350 Chardon Avenue Suite 500 Torre Chardon San Juan, PR 00918",In-network: $0 copay Out-of-network: 20% coinsurance per visit,In-network: $0-10 copay per visit Out-of-network: 20% coinsurance per visit,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: 0-20% coinsurance Out-of-network: 20% coinsurance,In-network: $0-60 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,$100 copay per visit (always covered),$0 copay,In-network: Tier 1 $0 copay per stay Tier 2 $20 per stay Tier 3 $100 per stay Out-of-network: 20% per stay,In-network: $100 copay per visit Out-of-network: 20% coinsurance per visit,In-network: $0 copay Out-of-network: 20% per stay,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $10 copay Out-of-network: 20% coinsurance,In-network: $10 copay Out-of-network: 20% coinsurance,Preferred Generic,$5.00 copay,Gap coverage phase 1 $5.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$6.00 copay,Gap coverage phase 1 $6.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$15.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$20.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,In-network: 0-20% coinsurance Out-of-network: 20% coinsurance,In-network: 0-20% coinsurance Out-of-network: 20% coinsurance,In-network: $35 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,Not covered,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,In-network: $0 copay Out-of-network: 20% coinsurance,Not covered,Not covered,Not covered
Real (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H5774-005-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H5774-005-0,1-833-221-2234,1-888-620-1919,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$3,650 In-network","PO Box 11320 San Juan, PR 00922",$0 copay,$0-15 copay per visit,0-10% coinsurance,0-10% coinsurance,$0-75 copay,$0 copay,$50 copay per visit (always covered),$0 copay,Tier 1 $0 copay per stay Tier 2 $100 per stay,$25 copay per visit,$0 copay,$0 copay,$0 copay,$10 copay,$0 copay,Preferred Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$0.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$5.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-10% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay
Magno (HMO-POS),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H5774-027-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H5774-027-0,1-833-221-2234,1-888-620-1919,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$3,650 In-network","PO Box 11320 San Juan, PR 00922",In-network: $0 copay Out-of-network: 35% coinsurance per visit,In-network: $0-5 copay per visit Out-of-network: 35% coinsurance per visit,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0-20 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,$50 copay per visit (always covered),$0 copay,In-network: Tier 1 $0 copay per stay Tier 2 $40 per stay Out-of-network: 35% per stay,In-network: $25 copay per visit Out-of-network: 35% coinsurance per visit,In-network: $0 copay Out-of-network: 35% per stay,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,Preferred Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$5.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$25.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,In-network: 0-20% coinsurance Out-of-network: 35% coinsurance,In-network: 0-20% coinsurance Out-of-network: 35% coinsurance,In-network: 0-20% coinsurance (up to $35) Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance
Brillante (HMO-POS),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H5774-031-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H5774-031-0,1-833-221-2234,1-888-620-1919,$0.00,$0.00,$0.00,$174.70,No,$0,$0.00,"$3,650 In-network","PO Box 11320 San Juan, PR 00922",In-network: $0 copay Out-of-network: 35% coinsurance per visit,In-network: $0-3 copay per visit Out-of-network: 35% coinsurance per visit,In-network: 0-10% coinsurance Out-of-network: 35% coinsurance,In-network: 0-10% coinsurance Out-of-network: 35% coinsurance,In-network: $0-50 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,$50 copay per visit (always covered),$0 copay,In-network: Tier 1 $0 copay per stay Tier 2 $150 per stay Out-of-network: 35% per stay,In-network: $25 copay per visit Out-of-network: 35% coinsurance per visit,In-network: $0 copay Out-of-network: 35% per stay,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,Preferred Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$25.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$40.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,In-network: 0-10% coinsurance Out-of-network: 35% coinsurance,In-network: 0-20% coinsurance Out-of-network: 35% coinsurance,In-network: 0-20% coinsurance (up to $35) Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance,In-network: $0 copay Out-of-network: 35% coinsurance
AhorroMax (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H5774-037-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H5774-037-0,1-833-221-2234,1-888-620-1919,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$3,650 In-network","PO Box 11320 San Juan, PR 00922",$0 copay,$0-5 copay per visit,0-10% coinsurance,0-10% coinsurance,0-10% coinsurance,$0 copay,$75 copay per visit (always covered),$0 copay,Tier 1 $0 copay per stay Tier 2 $150 per stay,$25 copay per visit,$0 copay,$0 copay,$0 copay,$10 copay,$0 copay,Preferred Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$25.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$35.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-10% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay
Enlace Plus (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H5774-038-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H5774-038-0,1-833-221-2234,1-888-620-1919,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$3,650 In-network","PO Box 11320 San Juan, PR 00922",$0 copay,$0-5 copay per visit,0-10% coinsurance,0-10% coinsurance,0-10% coinsurance,$0 copay,$75 copay per visit (always covered),$0 copay,Tier 1 $0 copay per stay Tier 2 $50 per stay,$25 copay per visit,$0 copay,$0 copay,$0 copay,$10 copay,$0 copay,Preferred Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$10.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Brand,$15.00 copay,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase 1 —,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase 1 $0.00 copay,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-10% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay,$0 copay
Humana Gold Plus H4007-012 (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4007-012-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H4007-012-0,1-800-681-3625,1-866-773-5959,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$5,000 In-network","PO Box 195560 San Juan, PR 00919",$0 copay,$0 copay,$0-20 copay,$0 copay,$0-20 copay,$0-10 copay,$45 copay per visit (always covered),$10 copay per visit (always covered),$0 copay per stay,$0-20 copay per visit,$0 copay,$0 copay,$0 copay,$6 copay,$6 copay,Preferred Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Drug,$10.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-20% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,Not covered,$0 copay,Not covered,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,$0 copay,$0 copay,$0 copay,Not covered,Not covered,Not covered
Humana Gold Plus H4007-020 (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4007-020-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=2,H4007-020-0,1-800-681-3625,1-866-773-5959,$0.00,$0.00,$0.00,$174.70,No,$0,$0.00,"$5,000 In-network","PO Box 195560 San Juan, PR 00919",$0 copay,$3 copay per visit,$0-35 copay,$0-3 copay,$0-45 copay,$0-15 copay,$85 copay per visit (always covered),$10 copay per visit (always covered),$50 per stay,$3-45 copay per visit,$0 copay,$0 copay,$45 copay,$6 copay,$6 copay,Preferred Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$5.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Drug,$20.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-20% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,Not covered,$0 copay,Not covered,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,$0 copay,$0 copay,$0 copay,Not covered,Not covered,Not covered
Humana Gold Plus H4007-021 (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4007-021-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=3,H4007-021-0,1-800-681-3625,1-866-773-5959,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$5,000 In-network","PO Box 195560 San Juan, PR 00919",$0 copay,$0 copay,$0-20 copay,$0 copay,$0-20 copay,$0-10 copay,$25 copay per visit (always covered),$10 copay per visit (always covered),$0 copay per stay,$0-20 copay per visit,$0 copay,$0 copay,$0 copay,$6 copay,$6 copay,Preferred Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Drug,$15.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-20% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,Not covered,$0 copay,Not covered,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,$0 copay,$0 copay,$0 copay,Not covered,Not covered,Not covered
Humana Gold Plus H4007-024 (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4007-024-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=3,H4007-024-0,1-800-681-3625,1-866-773-5959,$0.00,$0.00,$0.00,$174.70,No,$0,$0.00,"$5,000 In-network","PO Box 195560 San Juan, PR 00919",$0 copay,$0 copay,$0-20 copay,$0 copay,$0-20 copay,$0-10 copay,$25 copay per visit (always covered),$10 copay per visit (always covered),$0 copay per stay,$0-20 copay per visit,$0 copay,$0 copay,$0 copay,$6 copay,$6 copay,Preferred Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Drug,$15.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-20% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,Not covered,$0 copay,Not covered,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,$0 copay,$0 copay,$0 copay,Not covered,Not covered,Not covered
Humana Gold Plus H4007-025 (HMO),Medicare Advantage with drug coverage,https://www.medicare.gov/plan-compare/#/plan-details/2024-H4007-025-0?fips=72021&plan_type=PLAN_TYPE_MAPD&zip=00961&year=2024&lang=en&page=3,H4007-025-0,1-800-681-3625,1-866-773-5959,$0.00,$0.00,$0.00,$174.70,Yes,$0,$0.00,"$5,000 In-network","PO Box 195560 San Juan, PR 00919",$0 copay,$0 copay,$0-20 copay,$0 copay,$0-20 copay,$0-10 copay,$25 copay per visit (always covered),$10 copay per visit (always covered),$0 copay per stay,$0-20 copay per visit,$0 copay,$0 copay,$0 copay,$6 copay,$6 copay,Preferred Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Generic,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Preferred Brand,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Non-Preferred Drug,$15.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Specialty Tier,33%,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,Select Care Drugs,$0.00 copay,Gap coverage phase Generic drugs: 25% Brand-name drugs: 25%,Catastrophic coverage phase Generic drugs: $0 copay Brand-name drugs: $0 copay,0-20% coinsurance,0-20% coinsurance,0-20% coinsurance (up to $35),In-network: $0 copay,In-network: $0 copay,In-network: $0 copay,$0 copay,$0 copay,Not covered,$0 copay,Not covered,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,0% coinsurance,$0 copay,$0 copay,$0 copay,Not covered,Not covered,Not covered
